El Cat�logo Nacional de C�digos Postales, es elaborado por Correos de M�xico y se proporciona en forma gratuita para uso particular, no estando permitida su comercializaci�n, total o parcial, ni su distribuci�n a terceros bajo ning�n concepto.
d_codigo,d_asenta,d_tipo_asenta,D_mnpio,d_estado,d_ciudad,d_CP,c_estado,c_oficina,c_tipo_asenta,c_mnpio,id_asenta_cpcons,d_zona,c_cve_ciudad,c_CP
63039,Real Montecarlo,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,21,017,0203,Urbano,02,
63039,Camino Real,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,21,017,0213,Urbano,02,
63039,Social Progresivo Cuba,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,21,017,0214,Urbano,02,
63039,Aztl�n El Verde,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0991,Urbano,02,
63039,Riveras de La Laguna,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,21,017,1084,Urbano,02,
63040,Magisterial,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0036,Urbano,02,
63050,El Par�an,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0037,Urbano,02,
63050,Miguel �ngel Paredes,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0038,Urbano,02,
63050,Mololoa,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0039,Urbano,02,
63058,Rivas Allende,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0040,Urbano,02,
63058,Sandino,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0041,Urbano,02,
63058,Sanchez Ibarra,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,21,017,0042,Urbano,02,
63059,Lomas de Cortez,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0043,Urbano,02,
63059,Lomas de La Laguna,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0044,Urbano,02,
63059,Villas de Matatipac,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0045,Urbano,02,
63059,San Juanito,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,1071,Urbano,02,
63060,El Rodeo,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0046,Urbano,02,
63061,Lomas Altas,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0047,Urbano,02,
63062,El Palomar,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0048,Urbano,02,
63062,Lomas Bonitas,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0049,Urbano,02,
63062,Alaska,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,21,017,1092,Urbano,02,
63062,Rinconada Residencial,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,1156,Urbano,02,
63066,Lomas del Valle,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0050,Urbano,02,
63066,Lomas del Valle Ampliaci�n,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,1060,Urbano,02,
63066,Florencia,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,21,017,1858,Urbano,02,
63067,Las Flores,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0051,Urbano,02,
63068,Luis Echeverr�a A.,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0052,Urbano,02,
63068,Am�rica Manr�quez,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0053,Urbano,02,
63069,Primero de Mayo,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0054,Urbano,02,
63069,Unidad Obrera,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0055,Urbano,02,
63069,Ampliaci�n Unidad Obrera,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,1055,Urbano,02,
63070,Emiliano Zapata,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0056,Urbano,02,
63070,La Huerta,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,21,017,0057,Urbano,02,
63080,Heriberto Casas,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0058,Urbano,02,
63081,Acayapan,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0059,Urbano,02,
63082,El Fais�n,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0060,Urbano,02,
63082,El Naranjal,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0061,Urbano,02,
63083,Ruinas de Jauja,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0062,Urbano,02,
63083,Ampliaci�n Santa Teresita,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0063,Urbano,02,
63084,Ingeniero Aguayo,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0064,Urbano,02,
63084,Los Pinos,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0065,Urbano,02,
63088,Santa Fe,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0067,Urbano,02,
63089,Santa Cecilia,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0068,Urbano,02,
63100,20 de Noviembre,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0069,Urbano,02,
63109,Estadios,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,21,017,0070,Urbano,02,
63110,Lindavista,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0071,Urbano,02,
63110,Rodeo de La Punta,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,21,017,0072,Urbano,02,
63114,Nuevas Delicias,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0024,Urbano,02,
63114,Solidaridad INFONAVIT,Unidad habitacional,Tepic,Nayarit,Tepic,63001,18,63001,31,017,0073,Urbano,02,
63114,Colinas del Nayar,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0208,Urbano,02,
63114,Guadalupe,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,1056,Urbano,02,
63114,Solidaridad Primavera,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,1057,Urbano,02,
63114,Aztl�n Solidaridad,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,21,017,1058,Urbano,02,
63114,Ecologistas,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,1059,Urbano,02,
63114,Diecis�is de Septiembre,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,1096,Urbano,02,
63114,Residencial los Olivos,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,21,017,1857,Urbano,02,
63115,SPAUAN,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,21,017,0074,Urbano,02,
63116,FOVISSSTE 2a Etapa,Unidad habitacional,Tepic,Nayarit,Tepic,63001,18,63001,31,017,0075,Urbano,02,
63117,Brisas de San Juan,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,21,017,0002,Urbano,02,
63117,Las Brisas,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,21,017,0076,Urbano,02,
63117,Las Brisas FOVISSSTE,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,21,017,0077,Urbano,02,
63119,FOVISSSTE 1a Etapa,Unidad habitacional,Tepic,Nayarit,Tepic,63001,18,63001,31,017,0079,Urbano,02,
63120,IMSS,Unidad habitacional,Tepic,Nayarit,Tepic,63001,18,63001,31,017,0080,Urbano,02,
63120,Obrera CTM,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0081,Urbano,02,
63120,Villa San �ngel,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0082,Urbano,02,
63128,Lomas de San Juan,Colonia,Tepic,Nayarit,Tepic,63001,18,63001,09,017,0003,Urbano,02,
63129,Arboledas,Fraccionamiento,Tepic,Nayarit,Tepic,63001,18,63001,21,017,0066,Urbano,02,
